City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,uacu cungo,-11.3634,15.1208,63.64,49,25,1.48,AO,1716057223
185,ancud,-41.8697,-73.8203,50.99,74,72,7.9,CL,1716057218
186,pigeon forge,35.7884,-83.5543,80.47,69,20,5.75,US,1716057224
187,posto fiscal rolim de moura,-13.0833,-62.2667,88.5,53,100,1.12,BR,1716057225
188,bechar,31.6167,-2.2167,89.92,9,20,11.5,DZ,1716057226
189,aldinga beach,-35.2793,138.4604,48.67,82,1,3.98,AU,1716057226
190,padang,-0.9492,100.3543,78.85,91,100,5.35,ID,1716057227
191,columbia,34.0007,-81.0348,79.5,78,75,10.36,US,1716056939
192,los altos,37.3852,-122.1141,74.12,63,0,11.5,US,1716057228
193,igarka,67.4667,86.5833,27.01,85,100,8.99,RU,1716057228
194,mount gambier,-37.8333,140.7667,52.77,78,100,7.52,AU,1716057229
195,tanjungbalai,2.9667,99.8,78.44,91,89,5.82,ID,1716057229
196,salaverry,-8.2333,-78.9667,64.78,86,90,11.16,PE,1716057230
197,sechura,-5.5569,-80.8222,79.07,58,5,13.58,PE,1716057025
198,vilyuchinsk,52.9306,158.4028,46.26,94,100,4.68,RU,1716057231
199,kill devil hills,36.0307,-75.676,73.4,93,100,8.05,US,1716057231
200,sainte-anne-de-bellevue,45.4062,-73.9456,75.38,49,20,12.66,CA,1716057232
201,pangody,65.85,74.4859,17.02,96,29,7.96,RU,1716057232
202,tongliao,43.6125,122.2653,60.24,22,100,14.32,CN,1716057233
203,kruisfontein,-34.0033,24.7314,62.89,85,0,3.51,ZA,1716057233
204,west island,-12.1568,96.8225,82.38,89,40,11.5,CC,1716057234
205,tympaki,35.0729,24.7685,76.1,70,100,1.01,GR,1716057234
206,polaniec,50.4332,21.2812,62.24,83,100,4.34,PL,1716057235
207,constitucion,-35.3333,-72.4167,54.97,62,2,6.11,CL,1716057235
208,itarantim,-15.6597,-40.0656,76.1,83,94,0.69,BR,1716057236
209,pemangkat,1.1667,108.9667,79.18,88,100,4.68,ID,1716057236
210,payakumbuh,-0.2202,100.6308,72.7,97,100,1.99,ID,1716057237
211,tura,25.5198,90.2201,75.79,91,100,5.84,IN,1716057237
212,kourou,5.1552,-52.6478,77.05,96,100,4.59,GF,1716057006
213,lihue,21.9789,-159.3672,74.79,92,20,4.61,US,1716057239
214,kosciusko,33.0576,-89.5876,82.02,81,100,3.87,US,1716057239
215,east london,-33.0153,27.9116,63.54,88,0,8.05,ZA,1716057240
216,hobyo,5.3505,48.5268,83.37,83,100,25.3,SO,1716057240
217,ketchikan,55.3422,-131.6461,52.27,58,20,11.5,US,1716057241
218,zaozersk,69.4005,32.4476,37.87,100,100,3.91,RU,1716057198
219,gadzhiyevo,69.2551,33.3362,37.74,99,100,8.72,RU,1716057197
220,asmar,35.0333,71.3581,61.43,67,100,13.87,AF,1716057242
221,taroa,8.7058,171.2275,81.77,82,100,20.65,MH,1716057243
222,taoudenni,22.6783,-3.9836,98.4,9,0,8.5,ML,1716057244
223,eyl,7.9803,49.8164,83.57,83,100,16.11,SO,1716057104
224,margate,51.3813,1.3862,63.1,77,4,8.52,GB,1716057149
225,montecanal,41.6297,-0.9387,74.59,39,75,11.5,ES,1716057245
226,taroudant,30.4703,-8.877,66.06,58,0,17.65,MA,1716057187
227,uttar char fasson,22.2332,90.7132,85.93,78,100,10.11,BD,1716057246
228,westport,41.1415,-73.3579,71.28,71,100,10.36,US,1716057247
229,wanning,18.8003,110.3967,78.17,94,99,4.61,CN,1716057247
230,ulladulla,-35.35,150.4667,49.5,69,58,9.73,AU,1716057248
231,yuzhno-kurilsk,44.0306,145.8556,50.38,80,0,8.41,RU,1716057248
232,whitehorse,60.7161,-135.0538,54.1,44,75,3.44,CA,1716057071
233,san jose del guaviare,2.5729,-72.6459,85.03,85,64,2.04,CO,1716057250
234,korla,41.7597,86.1469,80.22,24,46,11.39,CN,1716057251
235,lozova,48.8894,36.3176,53.89,82,1,6.2,UA,1716057251
236,uturoa,-16.7333,-151.4333,79.83,73,100,24.29,PF,1716056719
237,baruun-urt,46.6806,113.2792,42.12,33,0,2.8,MN,1716057252
238,santiago del torno,-17.9833,-63.3833,60.98,93,100,5.28,BO,1716057253
239,dudinka,69.4058,86.1778,16.68,93,100,7.0,RU,1716057253
240,kuqa,41.7278,82.9364,81.3,18,80,5.3,CN,1716057254
241,gandajika,-6.75,23.95,75.67,50,100,2.66,CD,1716057254
242,devin,41.7433,24.4,60.03,98,100,2.21,BG,1716057031
243,ta`u,-14.2336,-169.5144,83.53,76,61,20.6,AS,1716057256
244,mili,6.0815,171.735,82.45,82,100,12.73,MH,1716057257
245,takoradi,4.8845,-1.7554,81.97,84,100,8.48,GH,1716057257
246,vernon,50.2581,-119.2691,57.81,54,100,11.99,CA,1716057236
247,mongu,-15.2484,23.1274,63.88,29,0,6.38,ZM,1716057258
248,aden,12.7794,45.0367,86.58,76,0,11.41,YE,1716057259
249,new plymouth,-39.0667,174.0833,50.81,83,5,5.66,NZ,1716057260
250,constantia,44.1833,28.65,56.08,78,100,10.33,RO,1716057261
